192.168.0.1 - guest [22/Mar/2021:07:00:37 +0000] "GET /api/overview?lengths_age=60&lengths_incr=5&msg_rates_age=60&msg_rates_incr=5 HTTP/1.1" 502 157 "http://localhost:5000/" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0"
192.168.206.1 - - [22/Mar/2021:07:02:28 +0000] "GET /js/tmpl/layout.ejs?0.5595196352880436 HTTP/1.1" 200 2259 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - guest [22/Mar/2021:07:02:29 +0000] "GET /api/overview HTTP/1.1" 200 828 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - guest [22/Mar/2021:07:02:29 +0000] "GET /api/nodes HTTP/1.1" 200 2823 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - guest [22/Mar/2021:07:02:29 +0000] "GET /api/vhosts HTTP/1.1" 200 239 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - guest [22/Mar/2021:07:02:29 +0000] "GET /api/vhosts HTTP/1.1" 200 239 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - guest [22/Mar/2021:07:02:29 +0000] "GET /api/extensions HTTP/1.1" 200 32 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - - [22/Mar/2021:07:02:29 +0000] "GET /js/dispatcher.js HTTP/1.1" 200 13312 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - guest [22/Mar/2021:07:02:29 +0000] "GET /api/overview?lengths_age=60&lengths_incr=5&msg_rates_age=60&msg_rates_incr=5 HTTP/1.1" 200 956 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - - [22/Mar/2021:07:02:29 +0000] "GET /favicon.ico HTTP/1.1" 200 102856 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - guest [22/Mar/2021:07:02:29 +0000] "GET /api/vhosts HTTP/1.1" 200 239 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
192.168.206.1 - guest [22/Mar/2021:07:02:29 +0000] "GET /api/nodes HTTP/1.1" 200 2823 "http://192.168.206.128:5000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"
